subject,target,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-misses_percent,LLC-load-misses_percent,LLC-store-misses_percent,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,execution_time,PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3
mypyc,binary_trees,11476214268,7526683836,11364246657,7511370697,36061383,19751462,65.58507588157555,66.0965123664686,54.771781769989246,2572.470764160149,4304.9678955078125,952.7200317382812,0,33610452992.0,34317791232.0,1427620055.04,0.0,560.446319103241,95.21742237091064,1052672.0,8568832.0,99.67773600714547,2.3767350242819103,2.304692108120237,2.033129319676331,1599.5185714285715,1600.0,1599.9992857142856,1600.0
pypy,k_nucleotide,1972101958,613944640,1932283414,606682182,11885594,5000975,31.13148574846656,31.397163459790477,42.07593663387795,675.0226440429688,1448.6909790039354,341.3599853515625,0,33610452992.0,34317791232.0,1608395325.9482937,0.0,193.44962739944458,96.9459395344526,1007616.0,8568832.0,97.30965298925831,3.051311332659243,2.64589250815075,2.725936619547555,1599.5191313340229,1600.0,1599.9989658738366,1600.0
mypyc,fannkuch_redux,48452717,5659015,15522780,3118784,7793049,318365,11.679458553376893,20.091658839460457,4.08524314424303,12574.242431640625,30589.012634277315,8225.853454589844,0,33610452992.0,34317791232.0,1156189291.2261882,0.0,4058.465677499771,95.4901131592519,983040.0,8568832.0,99.94577006507592,3.2671917683419758,3.3497295359598063,3.2403937549962256,1599.5080851902978,1600.0,1599.9998521001776,1600.0
pypy,fasta,1995035918,113164012,1574883258,67934130,251873456,34318628,5.672279430108987,4.313597827325434,13.625345260677252,311.34442138671875,671.7137451171875,176.857421875,0,33610452992.0,34317791232.0,1153735872.0,0.0,89.75078821182251,97.88035711220333,4993024.0,71065600.0,97.75526557649884,1.9924619032868318,2.891362190246582,2.306098928142871,1599.529017857143,1600.0,1600.0,1600.0
mypyc,fannkuch_redux,69979375,13433313,24177089,7666267,10493309,617257,19.196103137531594,31.708809112627247,5.882386576055275,15829.911499023438,37700.00890371093,9673.090942382798,0,33610452992.0,34317791232.0,1168527680.2812304,0.0,5099.839829921722,93.09516270940436,1073152.0,8568832.0,99.98699888012654,4.2311710055475515,3.8799470694032916,3.9764372034948985,1599.5120056497176,1600.0,1599.9996861268048,1599.9999607658506
codon,fasta,3695082,644310,1027526,177237,610323,392093,17.436960803576213,17.248906597010684,64.24352351132106,106.899169921875,243.06646728515716,61.55200195311045,0,33610452992.0,34317791232.0,1154385576.6936417,0.0,34.84542417526245,91.11524061522732,913408.0,10047488.0,98.06580701177519,2.253932649000532,2.4300282256451644,4.9787824801626925,1599.5202312138729,1600.0,1600.0,1600.0
pypy,spectralnorm,10925450,609870,2604821,183531,4773332,334690,5.582104169622304,7.0458200390737025,7.01166396973854,109.09454345703125,250.393310546875,62.25854492186045,0,33610452992.0,34317791232.0,1182865198.5454545,0.0,35.17179775238037,88.89650373025374,819200.0,71065600.0,93.7284575809132,3.611090898513794,2.9494866999712857,4.39462911202149,1599.4886363636363,1600.0,1600.0,1600.0
nuitka,binary_trees,102362,16139,27179,10683,,,15.76659307164768,39.30608190146804,,7166.8199462890625,12360.82470703125,2722.2952880859375,0,33610452992.0,34317791232.0,1889664832.7254806,0.0,1623.8859825134277,0.0,962560.0,8568832.0,99.86399809441113,3.5022896729325237,3.2510257030925827,3.214650278170159,1599.5096106456383,1600.0,1600.0,1599.9997535731889
cython,n_body,54108761,6659554,19829773,3750054,3619163,231026,12.307718522699124,18.911230098297143,6.383409644716195,5427.752746582046,13345.816955566414,3699.3096313476562,0,33610452992.0,34317791232.0,1164970467.3308141,0.0,1747.361279964447,90.2218455412155,1605632.0,7630848.0,99.87335182451156,3.8833554152509784,3.4050546501710164,4.546939697582861,1599.5157448757586,1600.0,1600.0,1600.0
cython,n_body,67524677,6560865,24822957,3383162,4047470,249493,9.716247883718125,13.62916593699937,6.164171692439969,5518.563049316406,13486.083801269531,3712.3822631835938,0,33610452992.0,34317791232.0,1167581961.7973886,0.0,1777.7808051109314,91.96834092696257,3891200.0,14585856.0,99.90995047276002,3.8581692770640093,4.311628841531271,4.00807739694958,1599.5219495722647,1600.0,1600.0,1600.0
