subject,target,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-misses_percent,LLC-load-misses_percent,LLC-store-misses_percent,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,execution_time,PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,CPU_USAGE_10,CPU_USAGE_11,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_FREQUENCY_10,CPU_FREQUENCY_11
pypy,k_nucleotide,4529258933.0,745915469.0,496712583.0,55474994.0,349457158.0,5039591.0,16.468819293268698,11.16842936914284,1.4421198377627735,0,659.9782104492042,289.06549072265625,0.00506591796875,33210380288.0,8589930496.0,1607957888.5791855,0.0,88.65615367889404,94.05369612749884,0.0,4096.0,98.83563083976642,0.441692842752146,0.9614911358550664,0.8620237635271581,0.5108329091406516,0.3918178170514862,0.4519157888393056,0.4536867875319261,0.16635411445102,0.365649621815703,0.6405248426204353,0.5832846673095927,2088.6131221719456,1849.29185520362,1790.8235294117646,1773.3393665158371,1335.5678733031675,1373.5090497737556,1339.8303167420815,1352.2398190045249,1087.3325791855204,1222.287330316742,1278.993212669683,1270.9524886877828
cython,n_body,31110785.0,340747.0,15998774.0,20514.0,7927758.0,407.0,1.095269695059125,0.1282223250356558,0.0051338600396228,0,6685.7940673828125,3198.5259399414062,0.048828125,33210380288.0,8589930496.0,1124593771.6501508,0.0,928.9388456344604,94.2875281041781,0.0,335872.0,99.85280683912733,0.5616061594377351,0.6009953354053177,0.4811676982429098,0.656477233659009,0.5737651657828325,0.6121428922679033,0.5251426291377161,0.3091016705791943,0.4977139461944453,0.4386739183100119,0.4492651543667069,2099.2783283067643,1781.6999138302456,1765.7139164153382,1759.961223610513,1281.9793192589402,1307.5954330030158,1299.515295131409,1319.8408013787162,1040.0295131408875,1209.574321413184,1260.0872468763464,1276.335200344679
cython,fasta,23355718.0,8853023.0,4743625.0,38545.0,2517860.0,203688.0,37.90516309539274,0.8125642309415269,8.08972699038072,0,1951.935241699248,932.3923950195312,0.01336669921875,33210380288.0,8589930496.0,1137427849.6141384,0.0,271.7276997566223,93.52942658594326,1966080.0,5816320.0,98.32810837741452,0.4482771258949355,0.6775907788738411,0.4996299797638878,0.5083067658109061,0.4731358213127976,0.609596624377901,0.7686279969775448,0.467851407200493,0.3385158434663851,0.458502479720537,0.4011105372843405,2097.9145802650955,1782.7091310751105,1765.2525773195875,1762.499263622975,1301.8085419734905,1318.7533136966126,1303.6472754050071,1319.7106038291606,1019.3431516936672,1220.1067746686304,1262.8460972017674,1272.940353460972
nuitka,fannkuch_redux,85234.0,27264.0,5538.0,3699.0,,,31.98723514090621,66.79306608884073,,0,12148.607604980469,5829.2412109375,0.0909423828125,33210380288.0,8589930496.0,1130123644.8194032,0.0,1683.2474598884585,0.0,131072.0,634880.0,99.92417559307944,0.5863192060900534,0.5924919421140482,0.6023822792459932,0.4607083666779569,0.5320351863216382,0.4905176102980438,0.5948968642022434,0.3808409923032296,0.3707794036586451,0.3691846603247969,0.4377082487892245,2098.779098799192,1776.3098323623826,1760.4746165735346,1746.9793128046606,1284.4830579003683,1310.8274878135774,1287.1481393413387,1300.3326596124125,1034.5622399239091,1209.8925216977768,1260.4944715253837,1270.0275829271193
codon,fasta,10333733.0,8179505.0,374833.0,19728.0,3820491.0,3514182.0,79.15343854926385,5.263143853396046,91.98247031598818,0,122.64324951171876,54.7953491211083,0.0009765625,33210380288.0,8589930496.0,1132941089.3913045,0.0,18.30051589012146,92.72282561011936,0.0,393216.0,93.18322987141816,0.8780686181524525,1.3738499257875525,0.5304469595784727,0.3346333503723144,0.4186457188233085,0.5525422510893448,1.0978260765904966,0.3872853517532348,0.3372213425843612,0.4652295682741248,0.6937927953574968,2071.1847826086955,1853.891304347826,1796.9673913043478,1815.4239130434785,1324.4673913043478,1388.054347826087,1353.7826086956522,1335.9239130434785,1044.75,1229.8369565217392,1277.9130434782608,1304.4021739130435
pypy,k_nucleotide,4563504387.0,701950389.0,493983853.0,56429171.0,375117659.0,4830971.0,15.381827855795157,11.423282493405711,1.287854859426919,0,651.6854858398438,285.13800048828125,0.00433349609375,33210380288.0,8589930496.0,1628994968.2004557,0.0,87.6794638633728,93.69331216920752,11534336.0,66387968.0,98.62674911255716,0.5699256995272799,0.6119908258692278,0.8597434717050174,0.3231623916799767,0.7315349833433069,0.5946726435137772,0.450491868621396,0.410457221685075,0.6988392363648208,0.5984369381277871,0.4637333432335517,2087.1867881548974,1827.446469248292,1800.633257403189,1820.373576309795,1372.357630979499,1378.4031890660592,1345.5239179954442,1361.0933940774487,1156.763097949886,1259.1480637813213,1290.239179954442,1279.1640091116174
cython,fasta,24234782.0,8898287.0,5527425.0,36997.0,2610448.0,232892.0,36.717008636595125,0.6693351786772322,8.921533775045509,0,1946.8063964843604,929.7945556640624,0.01666259765625,33210380288.0,8589930496.0,1142107682.7374632,0.0,271.3163664340973,92.8536830525131,0.0,335872.0,98.59796937588042,0.5955875419234105,0.8312151715994585,0.55280922454367,0.698464517242613,0.5962142470707584,0.5520080283152319,0.5307332186088801,0.3068969662254538,0.2981990676889729,0.4362460407359761,0.3710525213441314,2081.0353982300885,1795.5007374631268,1763.664454277286,1770.0811209439528,1297.9225663716811,1315.7772861356932,1306.8370206489676,1300.2271386430675,1034.5715339233038,1227.995575221239,1271.5575221238937,1275.5870206489676
cython,mandelbrot,37938882.0,2286531.0,14469376.0,29787.0,7597739.0,6086.0,6.026880286034785,0.2058623675271138,0.0801027779448596,0,5790.036804199233,2674.8580932617188,0.04669189453125,33210380288.0,8589930496.0,1145003103.244337,0.0,830.4279072284698,93.72400422935026,0.0,335872.0,99.8143251772961,0.5351176548865905,0.5073285221048148,0.5536129901926201,0.5060071482141334,0.4739467766521925,0.5152656911223767,0.5652928954901465,0.3592413780954946,0.3758067599692977,0.3498132529962494,0.4045039500673133,2099.211807228916,1779.8689156626506,1760.8414457831325,1742.216626506024,1282.6730120481927,1314.278313253012,1289.3934939759035,1306.509156626506,1062.9802409638555,1233.8997590361446,1266.2014457831326,1268.458795180723
mypyc,mandelbrot,40786768.0,2264473.0,15593031.0,34926.0,8471974.0,5672.0,5.55197950472565,0.2239846762313241,0.0669501582511938,0,6530.445434570298,3040.482543945298,0.04925537109375,33210380288.0,8589930496.0,1148679608.6196213,0.0,930.170572757721,94.05652676761252,4849664.0,11878400.0,99.79398044169255,0.6149158029914825,0.5103855692363134,0.6435998530029328,0.4069329749427338,0.5783137185643339,0.4939804795020213,0.5362031381455428,0.3294344454772911,0.3551388212099748,0.4530590319630919,0.4160064649022795,2099.084552495697,1787.4363166953528,1761.8584337349398,1769.8515490533564,1286.4548192771083,1318.1523235800344,1297.9380378657488,1307.551635111876,1043.710413080895,1221.8326161790017,1271.1247848537005,1273.6473752151462
mypyc,fannkuch_redux,70861133.0,584626.0,32735841.0,29630.0,21761405.0,108.0,0.8250305565958139,0.0905124142068016,0.0004962914848558,0,16657.634216308565,7977.959289550781,0.1268310546875,33210380288.0,8589930496.0,1147611031.4613051,0.0,2309.351231813431,94.36012454933346,1835008.0,5816320.0,99.97031344337638,0.5391731703185324,0.5434023573412227,0.5511761000911805,0.5111553119573801,0.5914801817175235,0.5442780776591656,0.5175114095918701,0.3888202455494947,0.4059946942509166,0.4396519944367494,0.4306600852652742,2099.5960655169424,1781.7712973394575,1763.5629603951816,1763.383222116301,1293.1922176965074,1312.985873992547,1294.1167345523877,1307.422393621631,1037.5763064390328,1216.667648843054,1268.1021752318225,1270.618944449259
nuitka,fannkuch_redux,191821.0,21720.0,3354.0,2190.0,,,11.323056391114632,65.29516994633273,,0,12155.917053222656,5828.030700683579,0.0941162109375,33210380288.0,8589930496.0,1147932991.8706765,0.0,1683.8583717346191,0.0005869810439227,131072.0,626688.0,99.84547723760846,0.5673289459765942,0.60233694372698,0.5865089367398975,0.5272532807056224,0.5609169758472831,0.5620692057720365,0.5927195209222955,0.2873236704890062,0.3927495783593642,0.4262795621580365,0.4811929996959749,2098.5568762629264,1780.661119695709,1766.8471413288958,1759.514917389754,1292.0518245572327,1317.5228812552002,1296.5167003447043,1311.7886604065138,1047.4928087483656,1222.6759776536312,1270.3349578033994,1275.6690835611553
numba,binary_trees,2265978049.0,737053738.0,267768033.0,109682134.0,181395212.0,8237127.0,32.52695842862509,40.96162367522041,4.540983694762572,0,327.4042358398437,139.8816528320167,0.00250244140625,33210380288.0,8589930496.0,2055443701.9388647,0.0,45.72459697723389,93.81107122096432,4980736.0,11878400.0,95.63318777292577,0.4939441014585536,0.7003966575106159,0.6504230020348162,0.5268771843618701,0.5859798578195697,0.6646372936177982,0.3953247715812583,0.8887400145613991,0.5621775188300286,0.2319198302827027,0.3780201366374586,2087.825327510917,1768.938864628821,1795.2183406113538,1771.6157205240174,1341.659388646288,1313.4847161572052,1297.0218340611357,1366.6331877729258,1063.1965065502184,1249.593886462882,1295.3318777292577,1295.2096069868996
pypy,binary_trees,10946707541.0,1475852184.0,851513293.0,442161121.0,1428064021.0,6794466.0,13.482155967648868,51.92650832756877,0.4757816106341075,0,531.1928100585938,223.9132690429542,0.0047607421875,33210380288.0,8589930496.0,1454835276.8725212,0.0,70.62488126754761,94.47227630399104,0.0,376832.0,97.14015917467329,0.6852877752976783,0.6423208674695606,0.7394613800913349,0.5991471830238364,0.822225540116556,0.685339130693387,0.693920235120541,0.6130389252060195,0.4604656119691076,0.6241069789817583,0.2008616039503059,2092.9348441926345,1847.371104815864,1842.8810198300284,1804.9376770538245,1355.968838526912,1374.473087818697,1352.818696883853,1387.4220963172804,1126.1331444759207,1238.1076487252124,1267.7195467422096,1284.6062322946177
cython,spectralnorm,14955988.0,276853.0,7774722.0,18574.0,3319924.0,0.0,1.8511180939701208,0.2389024327815193,,0,2585.378173828125,1180.9030761718896,0.0179443359375,33210380288.0,8589930496.0,1137139961.4358974,0.0,374.55338406562805,94.4593141955188,0.0,335872.0,99.76787101713,0.548838247011742,0.6018433198014386,0.563310031261709,0.6604954294669323,0.6345980344738207,0.5889847766066718,0.6017661905154968,0.2790461377774039,0.3390759788135178,0.3902183891329755,0.4828125835101828,2098.905982905983,1812.85202991453,1780.292200854701,1759.0534188034187,1297.1720085470083,1334.5844017094016,1311.2681623931624,1333.0,1023.3034188034188,1229.1891025641023,1265.838141025641,1278.2350427350427
codon,mandelbrot,22797938.0,2457918.0,1562999.0,8978.0,5403210.0,11756.0,10.781317152454752,0.5744085568832737,0.2175743678294939,0,450.69232177731465,198.1478881836083,0.00311279296875,33210380288.0,8589930496.0,1146962477.443787,0.0,67.47570037841797,89.61590238717886,4063232.0,10047488.0,90.22859815450816,0.5687891837407851,0.727503320698202,0.3476537205058442,1.1021433100545197,1.4086653618417548,0.4005644044579839,0.587175737294925,0.5934994017936774,0.5055690293128674,0.7463782882902044,0.4515070728296358,2045.923076923077,1804.192307692308,1775.9792899408285,1753.9023668639054,1318.1005917159764,1323.9112426035504,1311.0591715976332,1356.5,1034.0,1244.1834319526629,1288.292899408284,1311.0562130177516
pypy,spectralnorm,151226467.0,3952269.0,803044.0,58210.0,2679682.0,15499.0,2.613477044332458,7.248668815158322,0.5783895253242736,0,123.51019287109376,52.6632690429833,0.000732421875,33210380288.0,8589930496.0,1175814790.7368422,0.0,18.83740472793579,88.4985491300884,3932160.0,66387968.0,84.21052631578948,0.2201464157355459,0.0868958680253279,0.2743294377075998,0.6136500471516659,0.5588741315038581,0.1563401059100502,0.5368886659019871,0.5706766868892469,0.1691196065200002,0.5601503710997732,0.2271933944601761,2067.315789473684,1802.0315789473684,1786.9473684210527,1730.9789473684211,1304.5684210526315,1282.9263157894736,1330.4315789473685,1305.3052631578948,1075.1052631578948,1141.5894736842106,1232.3157894736842,1276.0210526315789
numba,mandelbrot,110733793.0,20587152.0,12940107.0,2351866.0,6515581.0,167651.0,18.591571228847908,18.17501199951438,2.5730782872624864,0,557.1880493164354,251.45983886720205,0.004638671875,33210380288.0,8589930496.0,1223252399.6862743,0.0,81.4709005355835,91.82829984029134,4849664.0,11878400.0,96.384199441648,0.332053918464511,0.4104108332711108,0.485360397208555,1.0594974477209298,0.2242474268172301,0.5991303418927333,0.5648334997833944,0.5135116173575321,0.2758370149953693,0.6484621244610524,0.5123128247465573,2074.68137254902,1791.3333333333333,1761.2573529411766,1786.468137254902,1265.7573529411766,1301.1617647058824,1309.9558823529412,1327.9558823529412,1039.7769607843138,1229.4583333333333,1254.8578431372548,1274.1053921568628
numba,mandelbrot,113745861.0,21079405.0,13079194.0,2301311.0,6620746.0,180457.0,18.532019376072068,17.595205025630783,2.725629407924726,0,558.6464843749418,252.2990112304542,0.0040283203125,33210380288.0,8589930496.0,1221402493.490196,0.0,81.66986107826233,92.86781476058212,0.0,417792.0,97.94727403977338,0.6486603559232226,0.2571337741671824,0.330213572610827,0.3320906404771057,0.3988011296765477,0.3742281942098748,0.4022106665606592,0.4311153560730756,0.1767303322752317,0.4839985861497767,0.3034971328634842,2084.98774509804,1784.735294117647,1789.6642156862745,1757.7401960784314,1284.4583333333333,1335.671568627451,1308.110294117647,1332.4632352941176,1008.8333333333334,1227.737745098039,1275.3921568627452,1288.703431372549
pypy,spectralnorm,153906898.0,3068480.0,1086980.0,49789.0,2732077.0,27129.0,1.9937248036796895,4.580489061436273,0.9929807981253822,0,123.23199462896446,52.64251708984375,0.00146484375,33210380288.0,8589930496.0,1170672974.1473684,0.0,18.88209724426269,91.36427564119036,1966080.0,5816320.0,91.5571687397204,0.5326314524600381,0.2999954474599738,0.3238724219171624,0.048544662877133,0.2528191466080515,0.1922550628059788,0.3829621860855504,1.0360717811082538,0.2542974233627319,0.1969125835519088,1.4371671601345664,2086.9473684210525,1779.178947368421,1715.157894736842,1803.3894736842103,1328.7578947368422,1312.3157894736842,1281.621052631579,1329.9052631578948,1031.8736842105263,1241.3157894736842,1261.1263157894737,1286.9684210526316
codon,binary_trees,935702397.0,628697398.0,49022735.0,33381649.0,6229253.0,4196550.0,67.18988858163628,68.09421995733204,67.3684308535871,0,164.0537109375291,66.94354248046875,0.0013427734375,33210380288.0,8589930496.0,1583755153.2972972,0.0,22.029017448425293,92.6033955135861,4063232.0,10051584.0,93.80952398626654,1.1739942017976228,0.4516177220387501,0.8184992053487279,0.7990570981223304,0.629148774318867,0.5810492994549038,0.9381711139335288,0.5137280290191238,0.7254079419213373,0.4374731843535964,0.6103851322655205,2077.495495495496,1857.711711711712,1818.495495495496,1808.7207207207207,1370.7837837837835,1373.7657657657658,1347.081081081081,1362.5675675675675,1169.918918918919,1276.5315315315315,1256.4594594594594,1282.8108108108108
numba,spectralnorm,81178924.0,15700370.0,12262326.0,1898682.0,3850800.0,209642.0,19.34045097715264,15.483864969827094,5.444115508465773,0,1209.3339233397855,470.9210815429833,0.0120849609375,33210380288.0,8589930496.0,1210313436.4660587,0.0,197.40553259849548,93.8260348666886,131072.0,417792.0,99.08603512842242,0.5598772137058784,0.5661606824265183,0.6498630732569651,0.6898925385938952,0.494043468191027,0.4322034369969199,0.6355564515460226,0.3853588514294184,0.6380634427432956,0.4005245432604893,0.3394220074319791,2096.624113475177,1772.8500506585613,1761.550151975684,1763.2664640324217,1293.6342451874366,1308.6190476190477,1295.3748733535967,1324.887537993921,1026.517730496454,1207.3748733535967,1279.0435663627154,1275.369807497467
numba,fannkuch_redux,45758347.0,10067716.0,6592912.0,1334230.0,2146050.0,210387.0,22.001922403359544,20.237339736978136,9.803452855245684,0,470.8937377929688,212.8441162109084,0.004638671875,33210380288.0,8589930496.0,1199217113.5260117,0.0,69.10036015510559,94.0443162532211,1966080.0,5816320.0,98.26589595375722,0.6169245689246007,0.671582121897295,0.2634188351948137,0.7255666671116228,0.7611062638676924,0.3797254609751563,0.6221590322910706,0.1512266622285622,0.3216509769073111,0.2178392250930642,0.5508111467251199,2091.875722543353,1800.852601156069,1790.9335260115606,1783.92774566474,1283.407514450867,1332.650289017341,1326.7745664739884,1335.8381502890174,1056.621387283237,1202.1531791907514,1283.300578034682,1301.471098265896
mypyc,n_body,27848531.0,290315.0,13213145.0,18698.0,7351568.0,435.0,1.042478685859588,0.1415105941848061,0.0059171050311987,0,5907.179443359404,2827.77392578125,0.04510498046875,33210380288.0,8589930496.0,1128043462.1130605,0.0,821.2308011054993,94.14418110094572,1966080.0,5816320.0,99.6568964052851,0.5949343468115228,0.6852055349792072,0.6556949375113781,0.5752755550133903,0.5216465841100114,0.4687704936497741,0.4666945790004195,0.2933770549242143,0.5605752418656447,0.5200988366749668,0.3563711982634332,2099.289230019493,1783.3418615984406,1758.5297270955166,1759.693469785575,1281.148635477583,1311.99171539961,1297.4773391812869,1312.0916179337232,1045.2804580896686,1216.3915692007797,1261.530701754386,1274.5633528265107
codon,fasta,10473231.0,8202678.0,351039.0,11493.0,3274355.0,2979594.0,78.32041516128118,3.2739951971148504,90.9978911877301,0,122.5129394530959,54.69775390625,0.0013427734375,33210380288.0,8589930496.0,1145711304.347826,0.0,18.33228182792664,92.16761242825052,4063232.0,10047488.0,91.93199721626614,0.2919448238352071,0.4736534305240797,0.8937272798755894,0.6712410200549208,1.5345062435321186,0.5772577559818393,0.5796114776445471,0.262238765216392,0.2694126448553541,0.3866433459131614,0.3022620185561802,2043.858695652174,1787.695652173913,1802.4021739130435,1768.9673913043478,1288.1195652173913,1337.7608695652175,1324.891304347826,1356.3152173913045,1096.4021739130435,1274.2282608695652,1305.3804347826087,1344.9347826086955
